"COMMON.NAME" "SCIENTIFIC.NAME" "OBSERVATION.COUNT" "LATITUDE" "LONGITUDE" "DATE" "MONTH" "DAY" "MIGRANT"
"Bank Myna" "Acridotheres ginginianus" "90" 25.205159 55.29646 "1995-12-26" "12" 360 "no"
"Eurasian Kestrel" "Falco tinnunculus" "2" 25.169707 55.432797 "1999-08-31" "08" 243 "yes"
"Western Reef-Heron" "Egretta gularis" "1" 25.086263 55.163731 "1999-08-30" "08" 242 "no"
"Great Gray Shrike" "Lanius excubitor" "2" 25.086263 55.163731 "1999-11-22" "11" 326 "no"
"Indian Roller" "Coracias benghalensis" "2" 25.185622 55.2467036 "1999-11-10" "11" 314 "no"
"House Crow" "Corvus splendens" "1" 25.185622 55.2467036 "1990-03-08" "03" 67 "no"
"Greater Spotted Eagle" "Clanga clanga" "5" 25.1921346 55.3193807 "1996-11-28" "11" 333 "yes"
"Gray Heron" "Ardea cinerea" "200" 25.1921346 55.3193807 "1993-10-25" "10" 298 "no"
"Eurasian Marsh-Harrier" "Circus aeruginosus" "3" 25.1921346 55.3193807 "1999-12-06" "12" 340 "yes"
"Greater Spotted Eagle" "Clanga clanga" "2" 25.1921346 55.3193807 "1991-11-02" "11" 306 "yes"
"Eurasian Marsh-Harrier" "Circus aeruginosus" "1" 25.18465 55.24805 "1993-01-07" "01" 7 "yes"
"Cattle Egret" "Bubulcus ibis" "1" 25.2052 55.2965 "1990-04-05" "04" 95 "no"
"Eurasian Marsh-Harrier" "Circus aeruginosus" "1" 25.205159 55.29646 "1999-10-02" "10" 275 "yes"
"Steppe Eagle" "Aquila nipalensis" "1" 25.205159 55.29646 "1990-11-21" "11" 325 "yes"
"Eurasian Marsh-Harrier" "Circus aeruginosus" "3" 25.205159 55.29646 "1999-12-17" "12" 351 "yes"
"Little Egret" "Egretta garzetta" "6" 25.205159 55.29646 "1995-12-26" "12" 360 "no"
"Great Gray Shrike" "Lanius excubitor" "2" 25.086263 55.163731 "1999-01-16" "01" 16 "no"
"Great Gray Shrike" "Lanius excubitor" "4" 25.086263 55.163731 "1999-12-15" "12" 349 "no"
"Great Gray Shrike" "Lanius excubitor" "1" 25.185622 55.2467036 "1990-03-07" "03" 66 "no"
"Peregrine Falcon" "Falco peregrinus" "1" 25.1921346 55.3193807 "1999-02-10" "02" 41 "yes"
"Great Egret" "Ardea alba" "6" 25.1921346 55.3193807 "1999-04-05" "04" 95 "no"
