"nest";"year";"first_egg";"start_expo";"last_ok";"last_control";"end_expo";"fate";"logger_fate";"end_type";"temperature";"lat";"lon"
"111_2020";"2020";2020-05-15 10:48:00;2020-05-19 10:48:00;2020-06-17 18:00:00;2020-07-09 08:14:00;2020-06-16 18:00:00;1;"no";"logger";NA;24.8402869608253;55.3524570073932
"112_2018";"2018";2018-05-04 12:27:00;2018-05-08 12:27:00;2018-05-22 09:33:00;2018-06-04 12:53:00;2018-06-03 00:53:00;1;"no";"visit";NA;24.8329638371292;55.3747988639448
"112_2019";"2019";2019-04-26 14:44:48;2019-05-01 16:40:00;2019-05-30 11:00:00;2019-05-30 11:06:00;2019-05-29 11:00:00;1;"no";"logger";NA;24.8352679866796;55.3791693922936
"112_2020";"2020";2020-05-15 11:30:00;2020-05-19 11:30:00;2020-05-19 11:30:00;2020-05-31 09:20:00;2020-05-19 11:30:00;2;"no";"visit";NA;24.8402169719338;55.3464859910309
"113_2018";"2018";2018-05-04 12:45:00;2018-05-08 12:45:00;2018-05-22 09:45:00;2018-06-04 13:05:00;2018-06-03 01:05:00;1;"no";"visit";NA;24.8334622003494;55.3744495776729
"113_2019";"2019";2019-04-19 13:59:36;2019-05-02 11:50:00;2019-05-09 12:50:00;2019-05-19 10:59:00;2019-05-09 12:50:00;2;"no";"visit";NA;24.8412809707224;55.3344090096653
"113_2020";"2020";2020-05-16 08:09:48;2020-05-21 10:05:00;2020-06-08 12:30:00;2020-06-17 09:44:00;2020-06-15 08:09:48;1;"no";"hde";NA;24.8360560275614;55.3936500381678
"114_2018";"2018";2018-05-08 01:27:00;2018-05-08 13:07:00;2018-05-21 12:15:00;2018-06-04 13:20:00;2018-06-03 13:20:00;1;"no";"hde";NA;24.8347294578946;55.373767438231
"114_2019";"2019";2019-04-29 11:17:24;2019-05-02 13:18:00;2019-06-02 09:30:00;2019-06-02 09:27:00;2019-06-01 21:30:00;1;"no";"logger";NA;24.840427024817;55.3379259118868
"114_2020";"2020";2020-05-21 10:20:00;2020-05-21 10:20:00;2020-05-21 10:20:00;2020-06-08 13:00:00;2020-05-30 11:40:00;0;"no";"half_rule";NA;24.8383290320635;55.3922189958394
"115_2018";"2018";2018-05-03 01:50:36;2018-05-08 13:29:00;2018-05-22 10:56:00;2018-05-28 14:30:00;2018-05-27 02:30:00;1;"no";"visit";NA;24.8380108324859;55.3893677851234
"115_2019";"2019";2019-04-27 11:46:48;2019-05-02 13:42:00;2019-05-31 12:00:00;2019-06-02 10:25:00;2019-05-30 12:00:00;1;"no";"logger";NA;24.8402635049608;55.344391279818
"115_2020";"2020";2020-05-17 11:50:00;2020-05-21 11:50:00;2020-05-31 22:02:00;2020-06-18 10:10:00;2020-06-16 22:10:00;1;"no";"visit";NA;24.8375240340829;55.3898029960692
"116_2018";"2018";2018-05-04 13:44:00;2018-05-08 13:44:00;2018-05-08 13:44:00;2018-05-14 11:10:00;2018-05-08 13:44:00;2;"no";"visit";NA;24.8378828593856;55.3921178206264
"116_2019";"2019";2019-04-25 08:32:24;2019-05-02 14:18:00;2019-05-02 14:18:00;2019-05-05 16:03:00;2019-05-04 03:10:30;0;"no";"half_rule";NA;24.8392023942888;55.350563671607
"116_2020";"2020";2020-05-28 11:20:00;2020-05-28 11:20:00;2020-05-28 11:20:00;2020-06-04 11:05:00;2020-05-31 23:12:30;0;"no";"half_rule";NA;24.8374989721924;55.3898190055043
"117_2018";"2018";2018-05-04 13:57:00;2018-05-08 13:57:00;2018-05-08 13:57:00;2018-06-04 10:15:00;2018-06-02 10:15:00;1;"no";"visit";NA;24.8382349738869;55.3931850467071
"117_2019";"2019";2019-04-27 22:31:36;2019-05-01 18:25:00;2019-05-10 09:07:00;2019-05-11 07:59:00;2019-05-10 20:33:00;0;"no";"half_rule";NA;24.8355527777464;55.3815247365735
"117_2020";"2020";2020-05-15 13:48:36;2020-05-28 11:39:00;2020-06-14 10:07:00;2020-06-30 14:50:00;2020-06-15 10:07:00;1;"no";"hde";NA;24.8374989721924;55.3898190055043
"118_2018";"2018";2018-05-04 14:09:00;2018-05-08 14:09:00;2018-05-28 14:48:00;2018-06-04 10:33:00;2018-06-02 22:33:00;1;"no";"visit";NA;24.8378200411167;55.3924408198692
"118_2019";"2019";2019-04-02 16:57:12;2019-05-03 07:14:00;2019-05-03 07:14:00;2019-05-04 16:15:00;2019-05-03 07:14:00;1;"no";"visit";NA;24.8340999101989;55.3765849326583
"118_2020";"2020";2020-05-22 19:39:24;2020-05-31 09:49:00;2020-05-31 09:49:00;2020-07-02 10:20:00;2020-06-21 19:39:24;1;"no";"hde";NA;24.8411170206964;55.3315139841288
"119_2018";"2018";2018-05-04 14:27:00;2018-05-08 14:27:00;2018-06-18 06:54:00;2018-07-10 10:40:00;2018-06-19 06:54:00;1;"no";"hde";NA;24.8361888581935;55.3925218114678
"119_2019";"2019";2019-04-29 10:20:00;2019-05-03 10:20:00;2019-05-03 10:20:00;2019-05-06 07:53:00;2019-05-04 21:06:30;0;"no";"half_rule";NA;24.8354979604483;55.3804809786379
"119_2020";"2020";2020-05-27 11:15:00;2020-05-31 11:15:00;2020-06-26 23:36:25;2020-07-02 10:40:00;2020-06-26 23:36:25;0;"yes";"logger";31.825;24.8402690235525;55.333404019475
"12_2018";"2018";2018-03-05 06:41:48;2018-03-16 10:25:00;2018-03-22 08:20:00;2018-04-12 11:50:00;2018-04-04 06:41:48;1;"no";"hde";NA;24.8417238479528;55.3393428267959
"12_2019";"2019";2019-02-09 13:32:00;2019-02-09 13:32:00;2019-03-07 15:06:00;2019-03-07 15:06:00;2019-03-06 15:06:00;1;"no";"hde";NA;24.8381464968421;55.3932886039005
"12_2020";"2020";2020-02-26 16:05:00;2020-03-01 16:05:00;2020-03-16 16:38:00;2020-03-29 13:20:00;2020-03-27 13:20:00;1;"no";"visit";NA;24.8380270320922;55.3895210288465
"120_2018";"2018";2018-04-25 17:18:36;2018-05-08 15:09:00;2018-05-08 15:09:00;2018-06-04 11:44:00;2018-05-25 17:18:36;1;"no";"hde";NA;24.8365657923792;55.3816668277655
"120_2019";"2019";2019-04-06 18:13:12;2019-05-07 08:30:00;2019-05-11 06:42:00;2019-05-13 06:28:00;2019-05-12 06:28:00;1;"no";"hde";NA;24.8422289639711;55.3657839819789
"121_2018";"2018";2018-05-06 09:25:00;2018-05-10 09:25:00;2018-06-04 13:15:00;2018-06-04 13:15:00;2018-06-04 13:15:00;5;"no";"visit";NA;24.8337558431599;55.3738488590393
"121_2019";"2019";2019-04-03 12:00:00;2019-05-03 12:00:00;2019-05-03 12:00:00;2019-05-03 12:00:00;2019-05-03 12:00:00;1;"no";"visit";NA;24.8364155538919;55.3782453538578
"121_2020";"2020";2020-06-04 12:48:00;2020-06-04 12:48:00;2020-06-04 12:48:00;2020-06-04 12:48:00;2020-06-04 12:48:00;5;"no";"visit";NA;NA;NA
"122_2018";"2018";2018-04-29 06:12:48;2018-05-10 09:56:00;2018-05-10 09:56:00;2018-06-04 13:27:00;2018-05-29 06:12:48;1;"no";"hde";NA;24.8340608606163;55.3765468260322
"122_2019";"2019";2019-04-30 12:54:00;2019-05-04 12:54:00;2019-06-02 04:00:00;2019-06-02 13:04:00;2019-06-01 04:00:00;1;"no";"logger";NA;24.8351119738072;55.3949100058526
"122_2020";"2020";2020-05-31 13:48:00;2020-06-04 13:48:00;2020-06-04 13:48:00;2020-07-07 10:50:00;2020-06-30 13:48:00;1;"no";"hde";NA;24.8445299640298;55.3660439886153
"123_2018";"2018";2018-04-14 13:28:12;2018-05-10 10:21:00;2018-05-10 10:21:00;2018-06-04 13:38:00;2018-05-14 13:28:12;1;"no";"hde";NA;24.8325768446598;55.3762778507594
"123_2019";"2019";2019-04-15 23:13:48;2019-05-04 13:09:00;2019-05-12 15:16:00;2019-05-15 07:50:00;2019-05-12 20:23:00;1;"no";"visit";NA;24.8372569866478;55.390006005764
"123_2020";"2020";2020-06-07 11:25:00;2020-06-07 11:25:00;2020-06-07 11:25:00;2020-06-15 11:00:00;2020-06-07 11:25:00;2;"no";"visit";NA;24.8445309698582;55.3660510294139
"124_2018";"2018";2018-05-01 11:17:12;2018-05-10 11:10:00;2018-05-10 11:10:00;2018-05-28 13:40:00;2018-05-27 13:40:00;1;"no";"hde";NA;24.8370917605735;55.3763007496636
"124_2019";"2019";2019-04-29 01:57:36;2019-05-04 13:36:00;2019-05-30 12:00:00;2019-05-30 11:35:00;2019-05-28 00:00:00;1;"no";"logger";NA;24.8380850348622;55.3895729966462
"124_2020";"2020";2020-05-27 00:36:48;2020-06-08 12:44:00;2020-06-08 12:44:00;2020-07-07 13:14:00;2020-06-21 01:05:00;1;"no";"visit";NA;24.8359720408916;55.3936409857124
"125_2018";"2018";2018-04-21 08:41:12;2018-05-10 11:34:00;2018-05-22 10:28:00;2018-05-31 13:50:00;2018-05-23 10:28:00;1;"no";"hde";NA;24.8365968054209;55.3768137896482
"125_2019";"2019";2019-04-25 08:16:00;2019-05-05 16:15:00;2019-05-14 14:17:00;2019-05-15 10:45:00;2019-05-14 14:17:00;2;"no";"visit";NA;24.8414549790323;55.3532689623535
"125_2020";"2020";2020-05-23 16:39:48;2020-06-08 13:47:00;2020-06-19 20:04:00;2020-06-21 12:20:00;2020-06-18 20:04:00;1;"no";"logger";NA;24.8364929761738;55.3708390239626
"126_2018";"2018";2018-04-14 16:07:12;2018-05-10 13:00:00;2018-05-10 13:00:00;2018-05-20 12:15:00;2018-05-14 16:07:12;1;"no";"hde";NA;24.8339829869666;55.3955960833037
"126_2019";"2019";2019-05-02 08:10:00;2019-05-06 08:10:00;2019-06-02 12:44:00;2019-06-02 12:44:00;2019-06-02 12:44:00;5;"no";"visit";NA;24.8373279813677;55.3825359698385
"126_2020";"2020";2020-05-27 11:36:00;2020-06-08 14:00:00;2020-06-27 17:30:00;2020-07-02 11:40:00;2020-06-23 23:00:00;1;"no";"logger";NA;24.836075976491;55.3717470355332
"127_2018";"2018";2018-05-06 00:44:48;2018-05-14 11:40:00;2018-06-11 04:30:00;2018-06-12 08:43:00;2018-06-08 22:00:00;1;"no";"logger";NA;24.8374318106148;55.3897748103414
"127_2019";"2019";2019-05-02 10:19:00;2019-05-06 10:19:00;2019-05-09 07:12:00;2019-05-10 10:47:00;2019-05-09 07:12:00;0;"yes";"logger";24.4958;24.8350050207228;55.3953610360622
"127_2020";"2020";2020-05-24 03:16:00;2020-06-08 14:40:00;2020-06-08 14:40:00;2020-07-07 10:10:00;2020-06-23 03:16:00;1;"no";"hde";NA;24.8443489987403;55.3649300336838
"128_2018";"2018";2018-05-10 07:48:48;2018-05-15 09:44:00;2018-05-15 09:44:00;2018-07-01 08:25:00;2018-06-09 07:48:48;1;"no";"hde";NA;24.8412028288517;55.3316007981125
"128_2019";"2019";2019-05-01 22:49:36;2019-05-07 10:28:00;2019-06-02 11:00:00;2019-06-02 10:53:00;2019-06-01 23:00:00;1;"no";"logger";NA;24.8407302356641;55.3512503055301
"128_2020";"2020";NA;2020-06-10 12:05:00;2020-06-13 07:30:00;2020-06-14 08:00:00;2020-06-12 07:30:00;1;"no";"logger";NA;24.8384420201182;55.3534350078553
"129_2018";"2018";2018-05-03 07:37:00;2018-05-15 10:01:00;2018-06-03 10:05:00;2018-06-12 10:43:00;2018-06-04 10:05:00;1;"no";"hde";NA;24.8404658081058;55.3274478165481
"129_2019";"2019";2019-05-07 16:34:00;2019-05-07 16:34:00;2019-05-07 16:34:00;2019-05-10 11:13:00;2019-05-09 01:53:30;0;"no";"half_rule";NA;24.8333530314267;55.3959519602358
"129_2020";"2020";2020-05-29 00:27:48;2020-06-10 12:35:00;2020-06-10 12:35:00;2020-06-10 12:35:00;2020-06-10 12:35:00;5;"no";"visit";NA;24.8396029975265;55.3468009829521
"13_2018";"2018";2018-03-03 13:37:36;2018-03-16 11:28:00;2018-03-16 11:28:00;2018-03-19 15:39:00;2018-03-16 11:28:00;2;"no";"visit";NA;24.8404337892357;55.3403648322496
"13_2019";"2019";2019-02-04 14:40:36;2019-02-25 14:55:00;2019-03-04 17:29:00;2019-03-07 11:35:00;2019-03-05 11:35:00;1;"no";"visit";NA;24.836517542913;55.3778741302168
"13_2020";"2020";2020-02-26 17:07:00;2020-03-01 17:07:00;2020-03-31 10:00:00;2020-04-28 11:35:00;2020-03-30 10:00:00;1;"no";"logger";NA;24.840310011059;55.3333050291985
"130_2018";"2018";2018-05-10 10:14:48;2018-05-15 12:10:00;2018-06-09 08:23:00;2018-06-12 07:46:00;2018-06-10 08:23:00;1;"no";"hde";NA;24.8397267534822;55.3465501638869
"130_2019";"2019";2019-05-09 10:40:00;2019-05-09 10:40:00;2019-06-10 13:30:00;2019-06-10 13:05:00;2019-06-08 21:00:00;1;"no";"logger";NA;24.8415409773588;55.3541629761457
"130_2020";"2020";2020-06-11 10:40:00;2020-06-11 10:40:00;2020-06-26 03:47:14;2020-06-28 13:15:00;2020-06-26 03:47:14;0;"yes";"logger";29.785;24.8395879939198;55.351090002805
"131_2018";"2018";2018-05-12 09:45:00;2018-05-16 09:45:00;2018-06-12 09:55:00;2018-06-25 09:10:00;2018-06-13 09:55:00;1;"no";"hde";NA;24.8393789705608;55.3543684152763
"131_2019";"2019";2019-05-04 08:49:48;2019-05-09 10:45:00;2019-05-09 10:45:00;2019-05-09 10:45:00;2019-05-09 10:45:00;5;"no";"visit";NA;24.8394500277936;55.3542600385845
"131_2020";"2020";2020-05-27 09:29:12;2020-06-11 11:10:00;2020-06-26 07:00:00;2020-06-28 13:30:00;2020-06-25 07:00:00;1;"no";"logger";NA;24.8388119973242;55.3527060337365
"132_2018";"2018";2018-05-12 10:20:00;2018-05-16 10:20:00;2018-06-12 09:30:00;2018-06-12 09:30:00;2018-06-12 09:30:00;5;"no";"visit";NA;24.8418208265725;55.365451784623
"132_2019";"2019";2019-04-13 16:34:24;2019-05-09 11:50:00;2019-05-13 08:00:00;2019-05-13 07:52:00;2019-05-12 20:00:00;1;"no";"logger";NA;24.8406789824367;55.3562680073083
"132_2020";"2020";2020-05-26 14:34:12;2020-06-11 12:50:00;2020-06-21 11:27:00;2020-07-07 12:40:00;2020-06-25 14:34:12;1;"no";"hde";NA;24.8388199601322;55.3527070395648
"133_2018";"2018";2018-05-12 12:33:00;2018-05-16 12:33:00;2018-05-16 12:33:00;2018-06-18 07:07:00;2018-06-11 12:33:00;1;"no";"hde";NA;24.836829069131;55.3905572973603
"133_2019";"2019";2019-05-06 14:50:00;2019-05-10 14:50:00;2019-05-11 10:04:00;2019-05-11 10:04:00;2019-05-11 10:04:00;5;"no";"visit";NA;24.842654010281;55.3422080352902
"133_2020";"2020";2020-05-29 15:39:36;2020-06-11 13:30:00;2020-06-11 13:30:00;2020-06-24 11:44:00;2020-06-22 23:44:00;1;"no";"visit";NA;24.8405140265822;55.3656649589539
"134_2018";"2018";2018-05-16 09:10:00;2018-05-20 09:10:00;2018-06-14 08:00:00;2018-06-17 07:28:00;2018-06-13 20:00:00;1;"no";"logger";NA;24.8400768039796;55.3524428194437
"134_2019";"2019";2019-05-10 13:53:36;2019-05-11 08:08:00;2019-05-13 13:19:00;2019-06-02 12:40:00;2019-05-23 12:59:30;0;"no";"half_rule";NA;24.835466643152;55.380584177926
"134_2020";"2020";NA;2020-06-14 10:40:00;2020-06-29 07:00:00;2020-06-30 15:10:00;2020-06-28 07:00:00;1;"no";"logger";NA;24.8324929643422;55.3813429735601
"135_2018";"2018";2018-05-07 12:27:36;2018-05-20 10:18:00;2018-06-03 10:36:00;2018-06-03 10:36:00;2018-06-02 10:36:00;1;"no";"hde";NA;24.8404818175409;55.3380648380194
"135_2019";"2019";2019-05-10 12:04:12;2019-05-11 09:28:00;2019-06-11 16:00:00;2019-06-12 08:32:00;2019-06-10 16:00:00;1;"no";"logger";NA;24.8405140265822;55.3544539958239
"135_2020";"2020";2020-06-15 13:10:00;2020-06-15 13:10:00;2020-07-13 20:00:00;2020-07-19 10:10:00;2020-07-12 20:00:00;1;"no";"logger";NA;24.8372849822044;55.3746269736439
"136_2018";"2018";NA;2018-05-24 13:26:00;2018-06-11 16:33:00;2018-06-11 16:33:00;2018-06-11 16:33:00;5;"no";"visit";NA;24.8389018287931;55.3847328441266
"136_2019";"2019";2019-05-11 16:15:36;2019-05-12 10:30:00;2019-06-13 07:20:00;2019-06-13 09:47:00;2019-06-11 02:00:00;1;"no";"logger";NA;24.8406079877168;55.3424060158432
"136_2020";"2020";2020-06-17 10:28:00;2020-06-21 10:28:00;2020-06-21 10:28:00;2020-07-07 13:53:00;2020-06-21 10:28:00;2;"no";"visit";NA;24.8379429616034;55.3873800393194
"137_2018";"2018";2018-05-16 07:58:48;2018-05-21 09:54:00;2018-06-18 05:40:00;2018-06-18 07:00:00;2018-06-17 17:40:00;1;"no";"logger";NA;24.8364490813047;55.3707217361053
"137_2019";"2019";2019-04-25 12:55:12;2019-05-21 09:48:00;2019-05-21 09:48:00;2019-06-23 09:55:00;2019-05-25 12:55:12;1;"no";"hde";NA;24.8408742946495;55.3316519945851
"137_2020";"2020";2020-06-05 15:42:48;2020-06-21 12:50:00;2020-06-24 11:30:00;2020-07-07 11:40:00;2020-07-05 15:42:48;1;"no";"hde";NA;24.8417320009321;55.3656419925392
"138_2018";"2018";2018-05-08 23:20:48;2018-05-21 11:28:00;2018-05-21 11:28:00;2018-05-21 11:28:00;2018-05-21 11:28:00;5;"no";"visit";NA;24.8361539901567;55.3725617721497
"138_2019";"2019";NA;2019-05-21 11:05:00;2019-06-18 10:40:00;2019-06-23 10:30:00;2019-06-22 10:30:00;1;"no";"visit";NA;24.8402700293809;55.3520270157605
"138_2020";"2020";2020-06-28 11:24:00;2020-06-28 11:24:00;2020-07-06 04:51:40;2020-07-09 08:40:00;2020-07-06 04:51:40;0;"yes";"logger";24.82;24.8417360242456;55.3656399808824
"139_2018";"2018";2018-05-13 20:31:12;2018-05-21 12:00:00;2018-05-21 12:00:00;2018-06-04 13:23:00;2018-05-21 12:00:00;2;"no";"visit";NA;24.8344276801493;55.3741639280685
"139_2019";"2019";NA;2019-05-21 11:33:00;2019-06-15 13:30:00;2019-06-15 13:50:00;2019-06-14 13:30:00;1;"no";"logger";NA;24.8396429792047;55.3500570170581
"139_2020";"2020";2020-06-23 12:09:48;2020-06-28 14:05:00;2020-07-26 19:00:00;2020-07-28 14:15:00;2020-07-26 07:00:00;1;"no";"logger";NA;24.8407720215619;55.3561629820615
"14_2018";"2018";2018-03-11 11:11:48;2018-03-16 13:07:00;2018-03-16 13:07:00;2018-03-19 13:26:00;2018-03-16 13:07:00;2;"no";"visit";NA;24.8419577868704;55.3500947969083
